Gene	ROLE	CANCER_TYPE
NOTCH2	ambiguous	ACY, BLCA, BRCA, DLBCL, ESCA, HNSC, NHLY, PRAD, SBCC, SSCC
NPEPPS	LoF	AML, LUSC
NPM1	ambiguous	AML
NPRL2	LoF	PAIS
NRAS	Act	ALL, AML, ANGS, CH, CLL, CM, COREAD, GBM, HC, LGG, LUAD, LUSC, MGCT, MM, NSPH, OV, PAAD, PRAD, THCA, THYM, UCEC
NRG1	Act	ST
NRK	Act	LUSC
NRP1	LoF	AML
NSD1	Act	CESC, ESCA, HNSC, LUSC, ST, UCEC, UCS
NSD2		ALL
NT5C3A	LoF	AML
NTRK1	Act	BRCA
NTRK3	Act	ESCA, ST
NUMA1	Act	BRCA
NUP214	Act	BCNET, MM, RPC
NXF1	Act	CLL
P2RY8	Act	BLY, DLBCL, NHLY
PABPC1	ambiguous	DLBCL, LUSC, MM, THCA
PAK2	Act	THCA
PARP4	ambiguous	COREAD, MM
PBRM1	LoF	CESC, CH, CM, ESCA, LUAD, RCCC, RPC, UCEC
PCBP1	Act	COREAD, PAAD
PCDH17	LoF	CH
PCMTD1	LoF	AML
PDCD1LG2	Act	CM
PDE4DIP	Act	THCA
PDGFRA	Act	GBM, HGG, LGG, LUSC, PIA
PDGFRB	Act	BRCA, UCS
PDPR	ambiguous	THCA
PEG3	Act	PAAD
PHF6	LoF	ALL, AML
PIK3CA	Act	ACY, AN, ANGS, BLCA, BRCA, CESC, CH, CM, COREAD, EPD, ESCA, GBM, HC, HGG, HNSC, LEIS, LGG, LUAD, LUSC, MBL, MESO, MGCT, NSCLC, OS, OV, PAAD, PIA, PRAD, RCCC, RPC, S, SBCC, ST, UCEC, UCS, VV
PIK3CB	Act	BLCA, GBM, PRAD
PIK3R1	LoF	ACY, BRCA, CH, GBM, HNSC, LGG, OS, ST, UCEC, UCS
PIM1	LoF	DLBCL, LY, MM, NHLY
PLAG1	Act	BRCA
PLCB4	Act	UVM
PLCG1	Act	ANGS, BC, LGG
PML	LoF	VV
PMS2	LoF	PRAD
POLD1	Act	BRCA
POLE	ambiguous	CESC, SBCC, UCEC
POLQ	ambiguous	CESC, CM, LUSC, SSCC, UCEC
POT1	ambiguous	CLL, CM, HC, LGG, UCEC
POU2F2	ambiguous	DLBCL, NHLY
PPM1D	LoF	HGG, PIA, SBCC
PPP2R1A	Act	ACY, COREAD, OV, THCA, UCEC, UCS, UVM
PPP3CA	LoF	ST
PPP6C	LoF	CM, SBCC
PPT2	Act	BLCA
PRDM1	LoF	DLBCL, MM, NHLY, PRAD
PRDM2	ambiguous	AN, HC, RPC
PREX2	Act	BLCA, BRCA, CM, DLBCL, ESCA, PRAD
PRF1	LoF	NSCLC, ST
PRKAR1A	LoF	ACC, MBL, PIA
